source_path	mode	object_type	object_id	disposition	owner_repository	implementation_story	reason
docs/stories/US-015-story-verify-command.md	100644	blob	00d8e7ef6c9bef3a58e910dfe3b5bd0cd45e0925	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/stories/epics/E09-self-improving-harness-lifecycle/US-074-replay-safe-improvement-identity/design.md	100644	blob	00db6b044293a1d72e4d25f2a152ec19f0b877c8	retain	repository-harness	US-098	generic Harness core or repository governance path
crates/harness-symphony/src/web.rs	100644	blob	023024d6db5c07f0a987ce589030030864709e2e	move	symphony	US-090	approved product path in E11 migration manifest
crates/harness-symphony/web-ui/src/features/symphony/types.ts	100644	blob	02cae6afcab31fbfb911dc1b4d3a43166872e9ce	move	symphony	US-090	approved product path in E11 migration manifest
docs/stories/epics/E08-symphony-web-ui-controller/US-050-run-start-event-api.md	100644	blob	0513e5e5fd7457279c49668e9cfce19d93740ff6	move	symphony	US-090	approved product path in E11 migration manifest
scripts/schema/011-legacy-evidence-snapshots.sql	100644	blob	0582ab13033dd6139cdcda92a5ce3fee1987f2f7	retain	repository-harness	US-098	generic Harness core or repository governance path
crates/harness-symphony/src/config.rs	100644	blob	06347e52555f1ccdcf7856ec40b1d826978ef075	move	symphony	US-090	approved product path in E11 migration manifest
.gitattributes	100644	blob	067951f587ba5784c465b4ed589a6aa04807adf5	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/decisions/README.md	100644	blob	07677e4adb09abff6c8930bea148e78dd53f216b	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/stories/US-012-story-verify-command-field.md	100644	blob	07dfb39f32d5258b2449765264e8b54f18b605e8	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/stories/epics/E08-symphony-web-ui-controller/US-047-dependency-board-foundation/overview.md	100644	blob	07f748c6ab29fc4f04c756e46cc9a4f03aa00174	move	symphony	US-090	approved product path in E11 migration manifest
.agents/skills/impeccable/scripts/live/event-validation.mjs	100644	blob	0897b13179146947cdae718a873e9806e8760fc3	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
docs/TOOL_REGISTRY.md	100644	blob	089af875e9962769022547b824bb5b6ddb501628	retain	repository-harness	US-098	generic Harness core or repository governance path
.agents/skills/impeccable/reference/colorize.md	100644	blob	08a3862d4171ce6ef14acb41381ac340f7009131	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
docs/stories/US-008-trace-quality-scoring.md	100644	blob	093dd9f608cb5f718950b7b774eb44ebc212feeb	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/stories/epics/E09-self-improving-harness-lifecycle/US-083-post-review-correctness-closure/design.md	100644	blob	0981c0741783fe8c17d291f9706e8e37e1fb5898	retain	repository-harness	US-098	generic Harness core or repository governance path
crates/harness-symphony/web-ui/tests/board.spec.ts	100644	blob	0c2d07a8ab4c2a91a0a03bd1e46903b0eddda8e5	move	symphony	US-090	approved product path in E11 migration manifest
crates/harness-symphony/web-ui/src/features/symphony/sidebar.tsx	100644	blob	0c7981f5fef3f0e68f1bb3aa40ccd4f134e3c612	move	symphony	US-090	approved product path in E11 migration manifest
CONTRIBUTING.md	100644	blob	0ccc5fcfe35a97c0ab3a28d41e218320a1880bfe	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/stories/epics/E09-self-improving-harness-lifecycle/US-074-replay-safe-improvement-identity/validation.md	100644	blob	0ccea75a294822cf0cda7766d816ad5538a438ea	retain	repository-harness	US-098	generic Harness core or repository governance path
.gitignore	100644	blob	0d5db89e79e873627a232fc2588141186dae10c2	rewrite	repository-harness	US-098	mixed root/template coupling explicitly listed for cleanup
docs/stories/epics/E05-symphony-local-runner/US-035-run-state-lock.md	100644	blob	0d8d37e6c1f84063e4f9085832ae54ada1f7aa16	move	symphony	US-090	approved product path in E11 migration manifest
crates/harness-symphony/src/state.rs	100644	blob	0dbc7c2161bf35f10333e74390d71a887178b17f	move	symphony	US-090	approved product path in E11 migration manifest
docs/stories/epics/E09-self-improving-harness-lifecycle/US-080-legacy-improvement-reconciliation/validation.md	100644	blob	0decb4ad5d5072aa9f02bd15a6aeb837251231f3	retain	repository-harness	US-098	generic Harness core or repository governance path
.agents/skills/impeccable/scripts/live-browser-session.js	100644	blob	0e362d6be1885c302261031128baac8537ca5afe	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
.agents/skills/impeccable/scripts/live-insert.mjs	100644	blob	0ed3cafeaf98b741c28dca8427812d544ce2476d	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
docs/stories/epics/README.md	100644	blob	1062387cb40b4c181846c230b6587f663f1d64d4	rewrite	repository-harness	US-098	mixed root/template coupling explicitly listed for cleanup
.agents/skills/impeccable/reference/audit.md	100644	blob	10f5572fd2012267910ae74b75fadcfe0e234ba2	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
docs/stories/epics/E08-symphony-web-ui-controller/US-070-readable-done-column-task-cards.md	100644	blob	11e2a178e9ab25428628cd4b308b5672f8034b71	move	symphony	US-090	approved product path in E11 migration manifest
docs/decisions/0005-prebuilt-rust-harness-cli.md	100644	blob	1214bd46c28e254e9e327369ef8a6ceeb8b82b80	retain	repository-harness	US-098	generic Harness core or repository governance path
.agents/skills/impeccable/reference/clarify.md	100644	blob	123f294d1b486facdc598d1777a8396674cdfe62	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
docs/TRACE_SPEC.md	100644	blob	130614edb7f20493b0a429d1be0c1bf97f29e143	retain	repository-harness	US-098	generic Harness core or repository governance path
scripts/schema/009-improvement-identity.sql	100644	blob	1314b1747c04142d457bc37ee4cfaf8f56ec8ff5	retain	repository-harness	US-098	generic Harness core or repository governance path
.agents/skills/impeccable/scripts/detector/rules/checks.mjs	100644	blob	13bcdc2241ab396877afb3a87ae3f274cc072b25	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
scripts/README.md	100644	blob	14205bad6e3ffbdf56dd24b2100d55c221419a79	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/decisions/0006-phase-4-benchmark-triage.md	100644	blob	142f3833e3758d89d79e22ea975685d49b2e9e81	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/stories/epics/E09-self-improving-harness-lifecycle/US-076-story-backlog-relationships/overview.md	100644	blob	144937bc9b7605444c3a2b722faceaa0240f8b42	rewrite	repository-harness	US-098	Reviewed active or proof-coupled Symphony reference in a core-owned file
.agents/skills/impeccable/scripts/lib/is-generated.mjs	100644	blob	165e1ca8075cdb23512a025da1d8b87ab40523b7	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
.harness/changesets/run_1783702000000000000_us077_completion_closure.changeset.jsonl	100644	blob	1668e43aef155f484263d69749d0240ec0574896	archive	migration-archive	US-098	historical/extension evidence must not remain active
docs/stories/epics/E08-symphony-web-ui-controller/US-047-dependency-board-foundation/execplan.md	100644	blob	17e172d7ba6534d05a2d025a7ab968e8e4bb78e1	move	symphony	US-090	approved product path in E11 migration manifest
.harness/changesets/run_1782473523_99206.changeset.jsonl	100644	blob	1892c9e28c4a238973333bb5f9a981aec2a219d6	archive	migration-archive	US-098	historical/extension evidence must not remain active
crates/harness-symphony/web-ui/src/features/symphony/constants.ts	100644	blob	19998e2625d1bfc760074cae5b78228ff9cd71ba	move	symphony	US-090	approved product path in E11 migration manifest
.github/ISSUE_TEMPLATE/agent-failure-case.md	100644	blob	1b5589e357023bc917029d489a7059cb411e5995	retain	repository-harness	US-098	generic Harness core or repository governance path
.agents/skills/impeccable/scripts/live-complete.mjs	100644	blob	1cc4e7543c2a91f6f6fe4a66e86482df03b95709	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
.agents/skills/impeccable/scripts/detector/engines/static-html/css-cascade.mjs	100644	blob	1d873f171cf8cae8dc475041ef68496da157a288	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
crates/harness-symphony/web-ui/index.html	100644	blob	1efef131cc68af0d38a696b84a4314d045ab8598	move	symphony	US-090	approved product path in E11 migration manifest
docs/IMPROVEMENT_PROTOCOL.md	100644	blob	1ffce63dd5c7cadb53b3aae2ed03052591e41158	rewrite	repository-harness	US-098	Reviewed active or proof-coupled Symphony reference in a core-owned file
crates/harness-cli/src/interface.rs	100644	blob	225b1dc92f7052d59a20fe1f9c3859940ae3737a	retain	repository-harness	US-098	generic Harness core or repository governance path
docs/stories/US-022-context-rule-measurement.md	100644	blob	228d6305a0566761522510ed823ea7391c371f7b	retain	repository-harness	US-098	generic Harness core or repository governance path
.agents/skills/impeccable/agents/impeccable_asset_producer.toml	100644	blob	2419f3ec6d5b13f0b65d02116977b3a8060d7ff3	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
crates/harness-symphony/web-ui/package-lock.json	100644	blob	255f101bb3beea87ed50fe79fac7dc6879c29e03	move	symphony	US-090	approved product path in E11 migration manifest
docs/stories/epics/E08-symphony-web-ui-controller/US-052-sync-approval-done-transition.md	100644	blob	25709226f3d1cdb7272ab9dbf095fda9147530b0	move	symphony	US-090	approved product path in E11 migration manifest
.agents/skills/impeccable/scripts/live-server.mjs	100644	blob	27005ef3cae48caba141b9c5c5d2ead9eca7ea14	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
docs/stories/epics/E08-symphony-web-ui-controller/US-067-needs-attention-recovery-action.md	100644	blob	2721a9fb372c66ea07cf77a46dcc03ac23550385	move	symphony	US-090	approved product path in E11 migration manifest
.agents/skills/impeccable/scripts/live-accept.mjs	100644	blob	278dfbb2e5857d6c3b2312cc195e136275f4ee35	discard_after_gate	external-tooling	US-098	project-local optional tooling is not product source
docs/stories/epics/E09-self-improving-harness-lifecycle/US-077-explicit-story-completion/design.md	100644	blob	280e35608e74979828760d82e1cefb7310981f6e	rewrite	repository-harness	US-098	Reviewed active or proof-coupled Symphony reference in a core-owned file
docs/stories/US-009-enriched-friction-query.md	100644	blob	299109ee27456c2bef61bdd39c50ec54d11e8ca7	retain	repository-harness	US-098	generic Harness core or repository governance path
